id,mp_party
1367749040536948736,Scottish National Party
1367500058879475726,Scottish National Party
1367489431876341764,Scottish National Party
1367196584316911621,Scottish National Party
1367192317447266306,Scottish National Party
1367112274884915201,Scottish National Party
1367054085581643777,Scottish National Party
1366818749152690179,Scottish National Party
1366129582370349062,Scottish National Party
1365987466054758400,Scottish National Party
1364699488426860544,Scottish National Party
1364696032903323650,Scottish National Party
1364690369431109633,Scottish National Party
1364690156020772864,Scottish National Party
1364689082614431749,Scottish National Party
1363846566184972293,Scottish National Party
1363835481889374215,Scottish National Party
1363830079248302080,Scottish National Party
1363828007937400832,Scottish National Party
1362375404930097152,Scottish National Party
1362356639823785987,Scottish National Party
1361787574528933888,Scottish National Party
1361728961923977223,Scottish National Party
1360735586395566081,Scottish National Party
1360733620332351493,Scottish National Party
1360730589385682945,Scottish National Party
1360276421621514240,Scottish National Party
1360272467697278986,Scottish National Party
1360146975300202497,Scottish National Party
1359780801597030400,Scottish National Party
1359621961551388676,Scottish National Party
1359607520831143937,Scottish National Party
1359541057567019016,Scottish National Party
1359456690010263555,Scottish National Party
1358605630903357440,Scottish National Party
1358602288617689088,Scottish National Party
1358601934010273793,Scottish National Party
1358598648955887618,Scottish National Party
1358122005988573190,Scottish National Party
1358087967873630212,Scottish National Party
1358080697097986049,Scottish National Party
1358009285133877249,Scottish National Party
1357713091665006592,Scottish National Party
1357666225594241025,Scottish National Party
1356997658066489349,Scottish National Party
1356911775241940992,Scottish National Party
1355603356698480650,Scottish National Party
1355568246833999874,Scottish National Party
1355561743129468935,Scottish National Party
1355220473605451784,Scottish National Party
1354501608609099778,Scottish National Party
1354500962774343687,Scottish National Party
1353779661470396418,Scottish National Party
1353406993323581440,Scottish National Party
1353348811838664705,Scottish National Party
1353344314412331009,Scottish National Party
1353343730863009792,Scottish National Party
1353025998913228803,Scottish National Party
1352961763814338560,Scottish National Party
1352659249982267394,Scottish National Party
1352653476061474826,Scottish National Party
1352649112550686720,Scottish National Party
1352572637252300800,Scottish National Party
1351881322382454786,Scottish National Party
1351143631781031939,Scottish National Party
1349693660074561536,Scottish National Party
1349679922957201408,Scottish National Party
1349679394240032770,Scottish National Party
1349659499905372160,Scottish National Party
1349658783761502208,Scottish National Party
1349643715703427072,Scottish National Party
1349343017325441024,Scottish National Party
1349311080594608129,Scottish National Party
1348704898058244101,Scottish National Party
1348418907145723905,Scottish National Party
1347534727549513729,Scottish National Party
1347523488349908994,Scottish National Party
1347520193233362945,Scottish National Party
1347519816006045698,Scottish National Party
1347518653781200898,Scottish National Party
1347518474713751552,Scottish National Party
1347155322482388996,Scottish National Party
1346945254965055489,Scottish National Party
1346937687387873284,Scottish National Party
1346929450496131075,Scottish National Party
1346430538802991104,Scottish National Party
1346135011884494849,Scottish National Party
1346095866394849281,Scottish National Party
1344804261553696768,Scottish National Party
1344803967822417921,Scottish National Party
1344802555835117568,Scottish National Party
1344798243478261768,Scottish National Party
1344797603473588224,Scottish National Party
1369304544690192386,Scottish National Party
1369304540013600768,Scottish National Party
1369304535009796103,Scottish National Party
1369304530287001600,Scottish National Party
1369058025076645889,Scottish National Party
1368985444520763397,Scottish National Party
1368983732187783174,Scottish National Party
1368960686710288384,Scottish National Party
1368935039514402818,Scottish National Party
1368930605409439751,Scottish National Party
1368927738158067715,Scottish National Party
1368627949663059975,Scottish National Party
1368557797936263172,Scottish National Party
1368270166652489735,Scottish National Party
1368167556561989635,Scottish National Party
1367869411449860096,Scottish National Party
1367798847385243648,Scottish National Party
1367797780886982656,Scottish National Party
1367760547731636225,Scottish National Party
1367542816126173186,Scottish National Party
1367498848642416645,Scottish National Party
1367417950215557122,Scottish National Party
1367416250461257731,Scottish National Party
1367170123811987456,Scottish National Party
1367142897599021060,Scottish National Party
1367027542939557892,Scottish National Party
1366779185788833795,Scottish National Party
1366751368648736769,Scottish National Party
1366726607965204482,Scottish National Party
1366698536482574338,Scottish National Party
1366418485719552002,Scottish National Party
1366402229897461765,Scottish National Party
1366395720257912833,Scottish National Party
1366366219390119936,Scottish National Party
1366075424200159232,Scottish National Party
1365699377734516740,Scottish National Party
1365336807324450821,Scottish National Party
1365336800923901956,Scottish National Party
1365336797006483459,Scottish National Party
1365333372730568715,Scottish National Party
1365277526252224513,Scottish National Party
1365257169449410563,Scottish National Party
1365229773883072514,Scottish National Party
1365032358240530445,Scottish National Party
1364613400978993153,Scottish National Party
1364525881671249920,Scottish National Party
1364308956479447044,Scottish National Party
1364223268710797313,Scottish National Party
1364195822863339520,Scottish National Party
1364167520400375811,Scottish National Party
1364167516432523264,Scottish National Party
1363918508363513857,Scottish National Party
1363830831698087938,Scottish National Party
1363820101456322561,Scottish National Party
1363539307756216320,Scottish National Party
1363208020444987396,Scottish National Party
1363202516100542468,Scottish National Party
1363197880958410753,Scottish National Party
1363081546312351747,Scottish National Party
1362832997645451264,Scottish National Party
1362810272860286988,Scottish National Party
1362731068009435141,Scottish National Party
1362502807794892806,Scottish National Party
1362431810626605058,Scottish National Party
1362420961765638147,Scottish National Party
1362418604453597185,Scottish National Party
1362089644410736640,Scottish National Party
1361711994655621120,Scottish National Party
1361688946024062979,Scottish National Party
1361682757160759298,Scottish National Party
1361622837564493827,Scottish National Party
1361365146086563848,Scottish National Party
1361342039649112069,Scottish National Party
1361076910802010113,Scottish National Party
1361046978344402949,Scottish National Party
1360677759299813380,Scottish National Party
1360347038827892736,Scottish National Party
1360305186091114503,Scottish National Party
1360297704627257350,Scottish National Party
1360276518681915393,Scottish National Party
1360194585180442625,Scottish National Party
1359912622687150096,Scottish National Party
1359902752374198273,Scottish National Party
1359863249261453312,Scottish National Party
1359863244966477826,Scottish National Party
1359863239518085120,Scottish National Party
1359515051892355074,Scottish National Party
1359500732744028167,Scottish National Party
1359202539724505095,Scottish National Party
1359181290625507328,Scottish National Party
1359162691143802884,Scottish National Party
1359100440533737473,Scottish National Party
1359100436767203332,Scottish National Party
1359034295822737416,Scottish National Party
1358827262406258691,Scottish National Party
1358730209810403331,Scottish National Party
1358729820084072448,Scottish National Party
1358729815340285952,Scottish National Party
1358729810181251074,Scottish National Party
1358729805458530305,Scottish National Party
1358729801645842435,Scottish National Party
1358729797317365761,Scottish National Party
1358516671762358272,Scottish National Party
1358355399070474246,Scottish National Party
1358173639372378112,Scottish National Party
1358083040438857728,Scottish National Party
1357824252636971011,Scottish National Party
1357723464132661249,Scottish National Party
1357365316926472193,Scottish National Party
1357362477588217860,Scottish National Party
1357361036370804736,Scottish National Party
1357359358468902915,Scottish National Party
1357358635177943043,Scottish National Party
1357280970286718978,Scottish National Party
1357278805182808069,Scottish National Party
1357046139791568903,Scottish National Party
1357030127046193156,Scottish National Party
1356995942285778945,Scottish National Party
1356684603961008133,Scottish National Party
1356644525654040578,Scottish National Party
1356644521166143489,Scottish National Party
1356644515898097664,Scottish National Party
1356644510869164032,Scottish National Party
1356644505257209856,Scottish National Party
1356644500416962561,Scottish National Party
1356644495278882819,Scottish National Party
1356644490119938050,Scottish National Party
1356644483702611969,Scottish National Party
1356633556890636290,Scottish National Party
1356583718874398720,Scottish National Party
1356542915607207936,Scottish National Party
1356530544092336131,Scottish National Party
1356271207239323652,Scottish National Party
1356221933445144578,Scottish National Party
1355952132994850818,Scottish National Party
1355937259736981505,Scottish National Party
1355937142480973827,Scottish National Party
1355847508140953600,Scottish National Party
1355825516796903424,Scottish National Party
1355824550399848454,Scottish National Party
1361706910123249665,Scottish National Party
1351620989063471105,Scottish National Party
1347202286020386817,Scottish National Party
1346960390706454529,Scottish National Party
1346917229992939520,Scottish National Party
1346065691938586624,Scottish National Party
1369045003796889602,Scottish National Party
1369044567828357120,Scottish National Party
1368913549238603781,Scottish National Party
1368905637132963841,Scottish National Party
1368901202143047681,Scottish National Party
1368900430986674177,Scottish National Party
1368894535598759940,Scottish National Party
1368894232543510531,Scottish National Party
1368892946460839937,Scottish National Party
1368891849172262914,Scottish National Party
1368891452227526658,Scottish National Party
1368890193797906433,Scottish National Party
1368887874335223809,Scottish National Party
1368883768124137473,Scottish National Party
1368880140135071744,Scottish National Party
1368877393826508800,Scottish National Party
1368875182983634944,Scottish National Party
1368871630408212482,Scottish National Party
1368868537834610690,Scottish National Party
1368866501776863233,Scottish National Party
1368864472132108288,Scottish National Party
1368862908956938240,Scottish National Party
1368848154070769668,Scottish National Party
1368710586306097159,Scottish National Party
1368701839051534338,Scottish National Party
1368701718649790465,Scottish National Party
1368701679340752896,Scottish National Party
1368701614127783947,Scottish National Party
1368643865834643458,Scottish National Party
1368640987812274179,Scottish National Party
1368640189363544064,Scottish National Party
1368626982817267712,Scottish National Party
1368616367864315914,Scottish National Party
1368607463944183809,Scottish National Party
1368597974759206913,Scottish National Party
1368596553338937350,Scottish National Party
1368595769486438403,Scottish National Party
1368593176655724544,Scottish National Party
1368592843728650241,Scottish National Party
1368589799213436931,Scottish National Party
1368588828588511239,Scottish National Party
1368588167272620039,Scottish National Party
1368587146064494603,Scottish National Party
1368581340954787842,Scottish National Party
1368576335887613956,Scottish National Party
1368576298080231430,Scottish National Party
1368576226215014403,Scottish National Party
1368576189380632579,Scottish National Party
1368576130329026561,Scottish National Party
1368575982144262145,Scottish National Party
1368575954927448064,Scottish National Party
1368575919682621445,Scottish National Party
1368575872739999744,Scottish National Party
1368575839558832134,Scottish National Party
1368575789655023616,Scottish National Party
1368575712383340549,Scottish National Party
1368575652161523714,Scottish National Party
1368575620444266498,Scottish National Party
1368575576999669761,Scottish National Party
1368564074339045383,Scottish National Party
1368563743630704642,Scottish National Party
1368563735242170372,Scottish National Party
1368563721442824197,Scottish National Party
1368563700370640899,Scottish National Party
1368563695446601738,Scottish National Party
1368563690715373569,Scottish National Party
1368563686244311042,Scottish National Party
1368563674387013632,Scottish National Party
1368563667407679493,Scottish National Party
1368563660273164289,Scottish National Party
1368563652362702852,Scottish National Party
1368499448142249984,Scottish National Party
1368363622410420228,Scottish National Party
1368167060954550276,Scottish National Party
1368145843455410178,Scottish National Party
1367938940053884935,Scottish National Party
1367926587837063182,Scottish National Party
1367916186630037508,Scottish National Party
1367916077640978440,Scottish National Party
1367755158864752645,Scottish National Party
1367495216874283015,Scottish National Party
1367494974401634304,Scottish National Party
1367494528316375040,Scottish National Party
1367485258669654033,Scottish National Party
1367060793460748288,Scottish National Party
1366895264909426692,Scottish National Party
1366889145671516161,Scottish National Party
1366449758898946053,Scottish National Party
1366414838449209347,Scottish National Party
1366410538432028675,Scottish National Party
1366406736366731266,Scottish National Party
1366302793129222145,Scottish National Party
1366162357324546050,Scottish National Party
1366139160344612870,Scottish National Party
1366136874696400902,Scottish National Party
1366117459271557124,Scottish National Party
1366051792132390914,Scottish National Party
1366023052786556934,Scottish National Party
1366010588304969731,Scottish National Party
1365971021833121796,Scottish National Party
1365963131588083715,Scottish National Party
1365958633092186113,Scottish National Party
1365942383586770945,Scottish National Party
1365780420986613763,Scottish National Party
1365748948678434818,Scottish National Party
1365745094654066690,Scottish National Party
1365606106001768448,Scottish National Party
1365574432908075014,Scottish National Party
1365573125358948354,Scottish National Party
1365439857322053634,Scottish National Party
1365439168881577990,Scottish National Party
1365431185434902529,Scottish National Party
1365430574450671616,Scottish National Party
1365426265449254914,Scottish National Party
1365424403467665408,Scottish National Party
1365417739490312197,Scottish National Party
1365417129672081410,Scottish National Party
1365415957628391428,Scottish National Party
1365415113872863239,Scottish National Party
1365414249980436491,Scottish National Party
1365413772605677574,Scottish National Party
1365404661881176072,Scottish National Party
1365404016931442690,Scottish National Party
1365402223736459267,Scottish National Party
1365399139295629314,Scottish National Party
1365394737621049346,Scottish National Party
1365393945560236043,Scottish National Party
1365389842163589120,Scottish National Party
1365381382156013569,Scottish National Party
1365373412353441792,Scottish National Party
1365365187583303682,Scottish National Party
1365360312032108549,Scottish National Party
1365359968350838790,Scottish National Party
1365356074950397954,Scottish National Party
1365353724546330624,Scottish National Party
1365352852718297088,Scottish National Party
1365342756969807876,Scottish National Party
1365337785226452996,Scottish National Party
1365314158875594758,Scottish National Party
1365269156870905863,Scottish National Party
1365268232106614784,Scottish National Party
1365213187730268162,Scottish National Party
1365111675242840064,Scottish National Party
1365110156342685696,Scottish National Party
1368862681403432960,Scottish Labour
1368595172678893570,Scottish Labour
1368327105730248705,Scottish Labour
1367505118594228231,Scottish Labour
1367499701029896192,Scottish Labour
1367173364230586371,Scottish Labour
1367100015626321925,Scottish Labour
1366757208126611458,Scottish Labour
1366509148200964096,Scottish Labour
1366338734208221184,Scottish Labour
1365262823710941187,Scottish Labour
1365202795436126208,Scottish Labour
1365002847729946627,Scottish Labour
1364196832038027264,Scottish Labour
1363098243626844162,Scottish Labour
1363096857036079107,Scottish Labour
1363044239475695616,Scottish Labour
1362084393356054529,Scottish Labour
1362007746594357250,Scottish Labour
1361988812994453505,Scottish Labour
1361359628613935109,Scottish Labour
1360596047127597056,Scottish Labour
1359910066669948935,Scottish Labour
1359878938756075527,Scottish Labour
1359837358435274753,Scottish Labour
1358423483500396549,Scottish Labour
1357375666090618885,Scottish Labour
1357363070587310081,Scottish Labour
1356966112941002752,Scottish Labour
1356618610656104449,Scottish Labour
1356531699501400065,Scottish Labour
1354763259837034499,Scottish Labour
1354367892746334210,Scottish Labour
1354353453284220932,Scottish Labour
1354176068312293376,Scottish Labour
1354150634136743941,Scottish Labour
1354102239565115394,Scottish Labour
1353665510613913600,Scottish Labour
1353608171642871813,Scottish Labour
1353281713934364672,Scottish Labour
1352705365541007369,Scottish Labour
1352648855909765120,Scottish Labour
1352515945588207617,Scottish Labour
1352366855135092742,Scottish Labour
1351967738575654917,Scottish Labour
1351932800287576067,Scottish Labour
1351579147705982976,Scottish Labour
1351488794319589376,Scottish Labour
1351097065150025738,Scottish Labour
1350902486442397697,Scottish Labour
1350842821830467586,Scottish Labour
1350731911740723200,Scottish Labour
1349491117360902145,Scottish Labour
1348388732790071301,Scottish Labour
1347643755248181249,Scottish Labour
1347273047594717187,Scottish Labour
1347271789001412608,Scottish Labour
1347211435538063360,Scottish Labour
1347169290651398146,Scottish Labour
1346372487651717121,Scottish Labour
1346115286127271938,Scottish Labour
1346025643373453313,Scottish Labour
1345408183855144960,Scottish Labour
1344966339232980993,Scottish Labour
1368588603908120582,Scottish Labour
1366714351378456580,Scottish Labour
1366323430312796161,Scottish Labour
1360178839817699336,Scottish Labour
1359428825474564097,Scottish Labour
1357035707437625349,Scottish Labour
1356380616816779267,Scottish Labour
1356380368807538689,Scottish Labour
1356380086681935875,Scottish Labour
1356302953506861059,Scottish Labour
1356299583907889152,Scottish Labour
1356272313105321988,Scottish Labour
1356260046280265732,Scottish Labour
1356253428884918275,Scottish Labour
1356248914727469057,Scottish Labour
1356210830883364864,Scottish Labour
1355484385252925440,Scottish Labour
1354833175848087557,Scottish Labour
1354521116161814529,Scottish Labour
1352313026150625281,Scottish Labour
1352298295880790030,Scottish Labour
1352271479493320711,Scottish Labour
1351946609513402368,Scottish Labour
1351601837649096705,Scottish Labour
1351601666764759043,Scottish Labour
1349110260469030912,Scottish Labour
1348699954580246528,Scottish Labour
1348627781568126976,Scottish Labour
1368534759425642497,Scottish Conservative and Unionist Party
1367793827159961608,Scottish Conservative and Unionist Party
1367562882142068739,Scottish Conservative and Unionist Party
1367422110273048578,Scottish Conservative and Unionist Party
1367157112426680321,Scottish Conservative and Unionist Party
1367149838727581696,Scottish Conservative and Unionist Party
1367043234820726784,Scottish Conservative and Unionist Party
1366817556372283397,Scottish Conservative and Unionist Party
1366792790064128004,Scottish Conservative and Unionist Party
1366686324095336450,Scottish Conservative and Unionist Party
1366680617581228033,Scottish Conservative and Unionist Party
1366355664667312137,Scottish Conservative and Unionist Party
1366025309246681088,Scottish Conservative and Unionist Party
1365664169199104002,Scottish Conservative and Unionist Party
1365609345187262464,Scottish Conservative and Unionist Party
1365257815502258177,Scottish Conservative and Unionist Party
1364980250006937605,Scottish Conservative and Unionist Party
1364871518715596807,Scottish Conservative and Unionist Party
1364601520629686272,Scottish Conservative and Unionist Party
1364509008288239616,Scottish Conservative and Unionist Party
1364252432184840199,Scottish Conservative and Unionist Party
1364237848975716356,Scottish Conservative and Unionist Party
1364228618000433154,Scottish Conservative and Unionist Party
1364197180484030467,Scottish Conservative and Unionist Party
1364168249517236224,Scottish Conservative and Unionist Party
1364155355337551873,Scottish Conservative and Unionist Party
1362392790399909889,Scottish Conservative and Unionist Party
1361994215148953601,Scottish Conservative and Unionist Party
1361976558957834240,Scottish Conservative and Unionist Party
1361620099879288834,Scottish Conservative and Unionist Party
1361288780192301059,Scottish Conservative and Unionist Party
1361282185689509888,Scottish Conservative and Unionist Party
1361242124226875395,Scottish Conservative and Unionist Party
1359799007887949824,Scottish Conservative and Unionist Party
1359439127582760962,Scottish Conservative and Unionist Party
1359438183151378435,Scottish Conservative and Unionist Party
1359155025235296263,Scottish Conservative and Unionist Party
1359105281721040897,Scottish Conservative and Unionist Party
1359072755644268544,Scottish Conservative and Unionist Party
1358809141045788672,Scottish Conservative and Unionist Party
1357754505048252423,Scottish Conservative and Unionist Party
1357665890288951297,Scottish Conservative and Unionist Party
1357395646379155459,Scottish Conservative and Unionist Party
1357389848726929408,Scottish Conservative and Unionist Party
1357282674835140609,Scottish Conservative and Unionist Party
1357269993528909825,Scottish Conservative and Unionist Party
1357264588924944384,Scottish Conservative and Unionist Party
1357001781730017281,Scottish Conservative and Unionist Party
1356627427880022018,Scottish Conservative and Unionist Party
1356539234082058240,Scottish Conservative and Unionist Party
1354385577391620098,Scottish Conservative and Unionist Party
1354366368968273921,Scottish Conservative and Unionist Party
1353993594584104961,Scottish Conservative and Unionist Party
1353720952899727365,Scottish Conservative and Unionist Party
1353641805674405888,Scottish Conservative and Unionist Party
1352368027367579663,Scottish Conservative and Unionist Party
1352190510648205314,Scottish Conservative and Unionist Party
1351636817565642756,Scottish Conservative and Unionist Party
1351164244222472207,Scottish Conservative and Unionist Party
1351108805648658435,Scottish Conservative and Unionist Party
1349621325376188422,Scottish Conservative and Unionist Party
1349400986390044673,Scottish Conservative and Unionist Party
1349400769569677315,Scottish Conservative and Unionist Party
1349400438983032832,Scottish Conservative and Unionist Party
1349291349993000961,Scottish Conservative and Unionist Party
1348608056901431301,Scottish Conservative and Unionist Party
1348567519280422912,Scottish Conservative and Unionist Party
1346111610528681985,Scottish Conservative and Unionist Party
1345300393031589888,Scottish Conservative and Unionist Party
1345299989732483072,Scottish Conservative and Unionist Party
1369298521766105092,Reform UK
1369281328361930755,Reform UK
1369243984867033097,Reform UK
1368928060863635457,Reform UK
1368909779893096451,Reform UK
1368867515875667968,Reform UK
1368301868540170242,Reform UK
1368152820575256584,Reform UK
1367865464098013184,Reform UK
1367783553333919744,Reform UK
1367469391156301825,Reform UK
1367459850565922821,Reform UK
1367407148196577282,Reform UK
1367164417427832839,Reform UK
1367155977259253771,Reform UK
1367154616006279170,Reform UK
1367127948805947393,Reform UK
1367049407431143425,Reform UK
1367036296959508487,Reform UK
1367033248304480257,Reform UK
1366882152793731079,Reform UK
1366830389134786561,Reform UK
