id,mp_party
1360915887046426624,PSC
1360908792301580288,PSC
1360522278409293824,PSC
1360522277067116544,PSC
1360522274223378432,PSC
1360522272893722624,PSC
1360522270733725696,PSC
1360522269433487360,PSC
1360522267923472384,PSC
1360331847645999104,PSC
1360207398749818880,PSC
1360200330030571520,PSC
1360152956084105216,PSC
1359893453845499904,PSC
1359872832054910976,PSC
1359867443615793152,PSC
1359783511738232832,PSC
1359780041777889280,PSC
1359776666852147200,PSC
1359617312266018816,PSC
1359454427225153536,PSC
1359449473412435968,PSC
1359256334168973312,PSC
1359236977883774976,PSC
1359236668558110720,PSC
1359204419053699072,PSC
1359173789079199744,PSC
1358812500666507264,PSC
1358769306176262144,PSC
1358762673240997888,PSC
1358507047680045056,PSC
1358372133571883008,PSC
1358369331499966464,PSC
1358075382717628416,PSC
1357962742209118208,PSC
1357939243809669120,PSC
1357810451975962624,PSC
1357414276504428544,PSC
1357413923608276992,PSC
1357319520705126400,PSC
1357299402373758976,PSC
1356914660516233216,PSC
1356535881788772352,PSC
1356332383604240384,PSC
1356318930588082176,PSC
1356288186952134656,PSC
1356246677099859968,PSC
1356238800612171776,PSC
1356223799608438784,PSC
1356202057976459264,PSC
1356199662760374272,PSC
1356194228372705280,PSC
1356177795844603904,PSC
1356173195334856704,PSC
1355850284682113024,PSC
1355816781764583424,PSC
1355130599103729664,PSC
1354880684276514816,PSC
1354861172143628288,PSC
1354774076712243200,PSC
1354402027678425088,PSC
1354399414308233216,PSC
1354376787954982912,PSC
1354351430434508800,PSC
1354134937457324032,PSC
1354130126133473280,PSC
1354117634564960256,PSC
1353713712570494976,PSC
1353641344066084864,PSC
1353012440510955520,PSC
1352992187320061952,PSC
1352990223198806016,PSC
1352727599009640448,PSC
1352687874815221760,PSC
1352234622902562816,PSC
1352183934025658368,PSC
1352183932641546240,PSC
1352177932568064000,PSC
1352176353890742272,PSC
1351995217625440256,PSC
1351946239873527808,PSC
1351930482682978304,PSC
1351831167104905216,PSC
1351827518660222976,PSC
1351614530577707008,PSC
1351529831431876608,PSC
1351512289694904320,PSC
1351510789543309312,PSC
1351487870436061184,PSC
1351269746638004224,PSC
1351269743857201152,PSC
1351196628175224832,PSC
1351196561221558272,PSC
1351079433663373312,PSC
1350797251258540032,PSC
1350783867888799744,PSC
1350783775186317312,PSC
1350783597561733120,PSC
1350763403833389056,PSC
1350763319246925824,PSC
1350760587786137600,PSC
1350760510539620352,PSC
1350759585095806976,PSC
1350759485879570432,PSC
1350758294214873088,PSC
1350735202985926656,PSC
1350556458144985088,PSC
1350540689122217984,PSC
1350385631801856000,PSC
1350380937293549568,PSC
1350112461723226112,PSC
1350104663643860992,PSC
1350055606963613696,PSC
1350050077440618496,PSC
1350048761326792704,PSC
1350048106394624000,PSC
1350044286289637376,PSC
1349748116354949120,PSC
1349666376470958080,PSC
1349407352731136000,PSC
1349394149154369536,PSC
1349382623399964672,PSC
1349381968467812352,PSC
1349379039899897856,PSC
1349362570499649536,PSC
1349303206887780352,PSC
1349021833153171456,PSC
1348983929953513472,PSC
1348983928426819584,PSC
1348983926702931968,PSC
1348958099395252224,PSC
1348950910488211456,PSC
1348666770555621376,PSC
1348581898050826240,PSC
1348570097733009408,PSC
1348563526772805632,PSC
1348305775857426432,PSC
1348274626389012480,PSC
1348267184078942208,PSC
1348249173947244544,PSC
1347866656647876608,PSC
1347621602964471808,PSC
1347479648071020544,PSC
1347477385525014528,PSC
1347190382191374336,PSC
1347174480234340352,PSC
1346917790096125952,PSC
1346913510329036800,PSC
1346860246766071808,PSC
1346860147608604672,PSC
1346859784738398208,PSC
1346745977164722176,PSC
1346476249116360704,PSC
1346410771127922688,PSC
1346152301199814656,PSC
1346144152719912960,PSC
1346098127573573632,PSC
1346094713665937408,PSC
1345774025314881536,PSC
1345659429509849088,PSC
1345341645219311616,PSC
1345110343392129024,PSC
1345068046755442688,PSC
1345052562446282752,PSC
1345052559799693312,PSC
1345052556377128960,PSC
1345052552635801600,PSC
1345052549125173248,PSC
1361063131657736192,Junts
1361053587095375872,Junts
1361038386308526080,Junts
1361017081534242816,Junts
1360974116266868736,Junts
1360941543956316160,Junts
1360927263185854464,Junts
1360927118213931008,Junts
1360887449703038976,Junts
1360670719571595264,Junts
1360665133891084288,Junts
1360617544315527168,Junts
1360614157649928192,Junts
1360571032638279680,Junts
1360318655364489216,Junts
1360316661660868608,Junts
1359825350482661376,Junts
1359777721472208896,Junts
1359617080677584896,Junts
1359449441791574016,Junts
1359417576045051904,Junts
1359415727405596672,Junts
1359413049350909952,Junts
1359412482335535104,Junts
1359122578976210944,Junts
1359050403992772608,Junts
1358760998056960000,Junts
1358748678605991936,Junts
1358748339374878720,Junts
1358413574020988928,Junts
1358409768591757312,Junts
1358363781911478272,Junts
1358363368264974336,Junts
1358000626022637568,Junts
1357997382168944640,Junts
1357981579621117952,Junts
1357736107178393600,Junts
1357735360663588864,Junts
1357672487857831936,Junts
1357657456499961856,Junts
1357654602653564928,Junts
1357644979221499904,Junts
1357452007100006400,Junts
1357406575422537728,Junts
1357406153005805568,Junts
1357354641877590016,Junts
1357292567814111232,Junts
1357273813126381568,Junts
1357056646221037568,Junts
1357041387611582464,Junts
1357041006726811648,Junts
1356888151336378368,Junts
1356887932083331072,Junts
1356887700293509120,Junts
1356589568510877696,Junts
1356588401240264704,Junts
1356580347660689408,Junts
1356536581738303488,Junts
1356354894559633408,Junts
1356344063268675584,Junts
1356336412073881600,Junts
1355626255404724224,Junts
1355222004719353856,Junts
1355142028775067648,Junts
1355082173901111296,Junts
1355078161579601920,Junts
1354838325304193024,Junts
1354837239604408320,Junts
1354815111907610624,Junts
1354768863167180800,Junts
1354741604565835776,Junts
1354731588970569728,Junts
1354392168383868928,Junts
1354126221081247744,Junts
1354061343473733632,Junts
1354043804156911616,Junts
1354042618297118720,Junts
1354009032399458304,Junts
1354002217792122880,Junts
1353998069684166656,Junts
1353821492753137664,Junts
1353811679616897024,Junts
1353805084656889856,Junts
1353745703756042240,Junts
1353662004049936384,Junts
1353653592373272576,Junts
1353641023856115712,Junts
1353635792623722496,Junts
1353618177570316288,Junts
1353614557672046592,Junts
1353603964395270144,Junts
1353395594149167104,Junts
1353395039553155072,Junts
1353336956403515392,Junts
1353287896942436352,Junts
1353113408514772992,Junts
1353084370073092096,Junts
1353079263612850176,Junts
1352932001964290048,Junts
1352907783335718912,Junts
1352657433844461568,Junts
1352654681202425856,Junts
1352613531049459712,Junts
1352546005426839552,Junts
1352543029366841344,Junts
1352542636687634432,Junts
1352232901602140160,Junts
1352229017420779520,Junts
1352213417613004800,Junts
1352200368722239488,Junts
1352199245529567232,Junts
1352149469672964096,Junts
1351940381626269696,Junts
1351939399777480704,Junts
1351937432921534464,Junts
1351881502527791104,Junts
1351880739760070656,Junts
1351859247227801600,Junts
1351793885425627136,Junts
1351649286962950144,Junts
1351608349423505408,Junts
1351557731455541248,Junts
1351533722676428800,Junts
1351484498224013312,Junts
1351482405354418176,Junts
1351446480570245120,Junts
1351183330742579200,Junts
1350851779660042240,Junts
1350082449942978560,Junts
1350051195612749824,Junts
1350008950276632576,Junts
1349766377083727872,Junts
1349692101999669248,Junts
1349643181563011072,Junts
1349636069025861632,Junts
1349364303292477440,Junts
1349315974604926976,Junts
1349064862765371392,Junts
1348968472039088128,Junts
1348628269554413568,Junts
1348624248584216576,Junts
1348573743002607616,Junts
1348327862030520320,Junts
1348019792096223232,Junts
1347967217854541824,Junts
1347901794517737472,Junts
1347221716150460416,Junts
1347176255217672192,Junts
1347150295399346176,Junts
1347129591798894592,Junts
1346532515339788288,Junts
1346521388421623808,Junts
1346442283680477184,Junts
1346441460774789120,Junts
1346162294036824064,Junts
1346147337991761920,Junts
1346034048121114624,Junts
1346033027877580800,Junts
1345126831129767936,Junts
1361096628292182016,Junts
1360941327702249472,Junts
1360914325226070016,Junts
1360349755839311872,Junts
1360335526847524864,Junts
1360323855789789184,Junts
1360290190116454400,Junts
1360277395434004480,Junts
1360229866361282560,Junts
1360220189204353024,Junts
1359978816421134336,Junts
1359964695835381760,Junts
1359913641391316992,Junts
1359898248517804032,Junts
1359869411654590464,Junts
1359647168609550336,Junts
1359411460913459200,Junts
1359255312524525568,Junts
1359227086276354048,Junts
1359119712148414464,Junts
1358886992549978112,Junts
1358876324274855936,Junts
1358859521062535168,Junts
1358785600741081088,Junts
1358726429610037248,Junts
1358511356358635520,Junts
1358488997144715264,Junts
1358406217270513664,Junts
1358315056908369920,Junts
1358160579047882752,Junts
1358115843150864384,Junts
1358053847609073664,Junts
1357985027288662016,Junts
1357792501957079040,Junts
1357743728979492864,Junts
1357679543729930240,Junts
1357416549297115136,Junts
1357386200114462720,Junts
1357318219795746816,Junts
1357081616489840640,Junts
1357057776619560960,Junts
1357024804210176000,Junts
1356941021762969600,Junts
1356940212249780224,Junts
1356939779590488064,Junts
1356903624857841664,Junts
1356879469194190848,Junts
1356718985207767040,Junts
1356710478689492992,Junts
1356696622781112320,Junts
1356596006159286272,Junts
1356593384891236352,Junts
1356355500271611904,Junts
1356335498449575936,Junts
1355899772104814592,Junts
1355640022964297728,Junts
1355622853295669248,Junts
1355589085281341440,Junts
1355418760551792640,Junts
1355282547375284224,Junts
1355202547938635776,Junts
1355179550473396224,Junts
1355144594766356480,Junts
1354875181974622208,Junts
1354771821359468544,Junts
1354509545176002560,Junts
1354374460145606656,Junts
1354124172650303488,Junts
1354113936342265856,Junts
1353727518155661312,Junts
1353317009765896192,Junts
1352232023755280384,Junts
1352205225571057664,Junts
1352202702932103168,Junts
1351925347181322240,Junts
1351492604869881856,Junts
1351074814837055488,Junts
1349748564990304256,Junts
1349677227152191488,Junts
1349661655525896192,Junts
1349618688442429440,Junts
1349098363338305536,Junts
1349097983049150464,Junts
1348990441329455104,Junts
1348234349091704832,Junts
1347656377137815552,Junts
1347645037308383232,Junts
1347645035865636864,Junts
1347645032514379776,Junts
1347182161112281088,Junts
1347181651059748864,Junts
1347093018403340288,Junts
1346551641970003968,Junts
1345298783404437504,Junts
1354121145075826688,ERC
1354121143461023744,ERC
1353688135880896512,ERC
1351507416312147968,ERC
